Cluster,Project Title,Project Partners,Project Type,Global Innovation Clusters Funding (M),Total Project Value (M),Date of Announcement,Project Location
Digital Technology Cluster,"FishVue AI Platform: Commercial Integration Of AI In Fisheries Monitoring (PCAIS Project) This project is designed to create efficiencies and reduce costs for fishery regulators and industry members by introducing AI tools to the data review workflow. For fisheries that utilize Electronic Monitoring (EM) on-board vessels, FishVue AI will reduce data review time when compared to existing human review methods while still providing industry and fisheries regulators with high-quality data to inform their decisions. The reduction of time and costs for data review will encourage wider adoption of Electronic Monitoring (EM) in Canada and globally.","Archipelago Marine Research, Barnacle Systems Inc., Canadian Groundfish, Canadian Sablefish, Pacific Halibut, Natural Sciences and Engineering Research Council of Canada",PCAIS,0.15,0.58,09/28/2023,"Victoria, BC"
Digital Technology Cluster,"Enabling Clean Hydroelectric Energy Generation, while Protecting Critical Fish Populations, with Artificial Intelligence Breakthroughs in Fish Tracking Technology (PCAIS Project) This project will help the advancement of fish monitoring technology by enhancing reliable fish tracking in harsh marine environments and increasing the availability of fish tracking insights from remote locations. This solution has the potential to play a pivotal role in harnessing Canada's untapped tidal stream and hydroelectric resource potential, aligning with the nation's clean energy objectives and fostering substantial market opportunities within the ocean sector.","Innovasea Marine Systems Canada Inc., Fundy Ocean Research Center for Energy, BigMoon, Nova Scotia Power, New Brunswick Power Corporation, DeepSense",PCAIS,5,10,09/28/2023,"Bedford, NS"
Digital Technology Cluster,"Autonomous Robotic Capabilities for Aquaculture (PCAIS Project) This project aims to create a complete autonomous system for the aquaculture industry, using autonomous underwater vehicles (AUVs) and autonomous surface vessels (ASVs) to provide valuable data pertaining to fish health, quantity, size, infrastructure, and water quality.","Independent Robotics, Innovobot, Cooke Aquaculture, Fleming College Centre for Innovative Aquaculture Production (CIIAP), Fleming College Centre for Advancement in Mechatronics and Industrial Internet of Things (CAMIIT), SINTEF Ocean AS",PCAIS,1,2,09/28/2023,"Westmount, QC"
Digital Technology Cluster,"Maximizing Oyster Production through AI-Enabled Monitoring in Poseidon's Biofilter (PCAIS Project) The project will demonstrate the capacity to cultivate oyster spat while effectively mitigating challenges such as parasites, disease, change effect, and increasing commercial yield for oyster farmers.","Clean Valley CIC, IntegraSEE Research Inc. (iSEE), Aqua Production Systems, Sober Island Oysters, SEAentia, ECO Canada",PCAIS,0.41,0.84,09/28/2023,"Dartmouth, NS"
Digital Technology Cluster,"AI-Driven In-Situ Biomass Sensor for Seaweed Measurement (PCAIS Project) This project will develop a small, non-intrusive, AI-enabled sensor for online remote biomass monitoring of seaweed growth. The sensors designed by this project will form the foundation for further leveraging AI for ocean biomass measurement.","Coastal Carbon, HoldFast NL",PCAIS,0.49,1.12,09/28/2023,"Waterloo, ON"
Digital Technology Cluster,"AI for Scalable Fisheries Monitoring (PCAIS Project) This project will modernize fisheries monitoring with Artificial Intelligence to make electronic monitoring (EM) more affordable for fishers and more effective for fisheries management. Through collaboration, the project will create the necessary AI infrastructure for monitoring programs to seamlessly integrate AI into their workflow. This project will enable monitoring programs to scale their operations without incurring high costs for video review, data processing, and storage. By addressing bottlenecks in data collection and processing, AI-enabled EM can be scaled up to provide key decision-making capabilities for fishers and fisheries management.","OnDeck Fisheries AI, Teem Fish Monitoring, Ha'oom Fisheries Society, Snap Information Technologies Ltd., The Canadian Groundfish Research and Conservation Society (CGRCS), Ocean Wise, GoodFish Seafood Co., J.O. Thomas & Associates LTD",PCAIS,1.55,3.55,09/28/2023,"Vancouver, BC"
Digital Technology Cluster,Enhancing Environmental DNA Data Through Artificial Intelligence (PCAIS Project) The project is based on the enormous amount of DNA data that the lead organization has collected from environmental samples---equivalent to more than 3000 human genomes. This extensive dataset presented significant opportunities for training AI models.,"eDNAtec Inc., ESRI Canada",PCAIS,0.08,0.35,09/28/2023,"St. John's, NL"
Digital Technology Cluster,"Multi-modal Sediment Core Characterization Using AI and Hyperspectral Imaging (PCAIS Project) This project brings the latest advancements in non-destructive imaging technologies to tackle the under-characterization of seafloor sediment samples, which hold crucial information about the subsurface environment, including its suitability for offshore infrastructure like wind turbines. The project aims to develop a scalable and robust approach for analyzing field surveys which is a growing and sustainable sector of the blue economy and will provide a solution that meets industry needs in a fast, non-destructive, and objective manner, and to predict the key physical properties of the seafloor.","Scient Analytics Inc., National Research Council Canada, University of Montreal, DeepSense",PCAIS,0.15,0.45,09/28/2023,"Halifax, NS"
Digital Technology Cluster,"Visual Assessment of Aquaculture Pens (PCAIS Project) This project will develop visual assessment capabilities for Independent Robotic's (IR) Aqua2 autonomous underwater vehicle (AUV) which enables autonomous observation of aquaculture net pens, supporting aquaculture production processes. The project's scope includes the development of algorithms for visually assessing fish health by counting, performing mass estimation, and evaluating cage infrastructure, as well as detecting population mortality levels, expressed as 'mort' in the industry.","Independent Robotics, Cooke Aquaculture, Fleming College Centre for Innovative Aquaculture Production (CIIAP), Fleming College Centre for Advancement in Mechatronics and Industrial Internet of Things (CAMIIT)",PCAIS,0.15,0.3,09/28/2023,"Westmount, QC"
Digital Technology Cluster,"Commercialization and Supply Chain Integration of BlueVita Technology Project This project will enhance the commercialization efforts by supporting early adoption of the Ship Nature's Way BlueVita technology with domestic and international customers for shipping of live seafood. It will also support supply chain expansion by supporting integration of BlueVita Technology with the technology of an existing mobile storage company, thereby achieving mutually beneficial technology advancements and market penetration.",Ship Nature's Way,General,1.77,3.54,06/27/2023,"Saint Andrew's, NB"
